Service,pos_neg,pos_neg_neutral
Great job!,positive,positive
This is amazing.,positive,positive
Terrible experience.,negative,negative
I'm very disappointed.,negative,negative
It's okay.,neutral,neutral
Could be better.,neutral,neutral
Excellent service!,positive,positive
Average performance.,neutral,neutral
This is fantastic.,positive,positive
I hate it.,negative,negative
It meets my expectations.,positive,neutral
Not bad.,positive,neutral
I expected more.,negative,neutral
I'm indifferent.,neutral,neutral
Worst ever.,negative,negative
Pretty good.,positive,positive
I can't stand this.,negative,negative
I love this product!,positive,positive
Not impressed.,negative,negative
Outstanding quality!,positive,positive
